Spectrum,Johnson,Chip,HST,ABMAG,STMAG,VEGAMAG
BB2500,I,uvis1,f814w,0.092,0.050,0.092
BB2500,V,uvis1,f606w,0.629,0.473,0.708
BB2500,V,uvis1,f555w,-0.158,-0.089,-0.188
BB2500,B,uvis1,f475w,0.882,0.691,0.893
BB2500,U,uvis1,f336w,-1.094,-0.947,-0.670
BB2500,I,uvis2,f814w,0.089,0.048,0.088
BB2500,V,uvis2,f606w,0.629,0.473,0.708
BB2500,V,uvis2,f555w,-0.157,-0.088,-0.188
BB2500,B,uvis2,f475w,0.881,0.690,0.892
BB2500,U,uvis2,f336w,-1.094,-0.947,-0.670
BB3000,I,uvis1,f814w,0.055,0.013,0.055
BB3000,V,uvis1,f606w,0.450,0.294,0.528
BB3000,V,uvis1,f555w,-0.154,-0.085,-0.185
BB3000,B,uvis1,f475w,0.696,0.505,0.707
BB3000,U,uvis1,f336w,-0.857,-0.710,-0.433
BB3000,I,uvis2,f814w,0.053,0.013,0.052
BB3000,V,uvis2,f606w,0.450,0.294,0.528
BB3000,V,uvis2,f555w,-0.154,-0.085,-0.185
BB3000,B,uvis2,f475w,0.695,0.504,0.706
BB3000,U,uvis2,f336w,-0.857,-0.710,-0.433
BB4000,I,uvis1,f814w,0.020,-0.022,0.020
BB4000,V,uvis1,f606w,0.247,0.091,0.325
BB4000,V,uvis1,f555w,-0.126,-0.057,-0.156
BB4000,B,uvis1,f475w,0.455,0.264,0.467
BB4000,U,uvis1,f336w,-0.564,-0.417,-0.140
BB4000,I,uvis2,f814w,0.019,-0.022,0.018
BB4000,V,uvis2,f606w,0.247,0.091,0.325
BB4000,V,uvis2,f555w,-0.125,-0.057,-0.156
BB4000,B,uvis2,f475w,0.454,0.264,0.466
BB4000,U,uvis2,f336w,-0.564,-0.417,-0.139
BB5000,I,uvis1,f814w,0.005,-0.038,0.004
BB5000,V,uvis1,f606w,0.141,-0.015,0.219
BB5000,V,uvis1,f555w,-0.094,-0.025,-0.125
BB5000,B,uvis1,f475w,0.309,0.118,0.320
BB5000,U,uvis1,f336w,-0.395,-0.247,0.030
BB5000,I,uvis2,f814w,0.004,-0.037,0.003
BB5000,V,uvis2,f606w,0.141,-0.015,0.219
BB5000,V,uvis2,f555w,-0.094,-0.025,-0.125
BB5000,B,uvis2,f475w,0.308,0.118,0.320
BB5000,U,uvis2,f336w,-0.394,-0.247,0.030
BB6000,I,uvis1,f814w,-0.003,-0.046,-0.004
BB6000,V,uvis1,f606w,0.078,-0.078,0.157
BB6000,V,uvis1,f555w,-0.067,0.001,-0.098
BB6000,B,uvis1,f475w,0.212,0.021,0.224
BB6000,U,uvis1,f336w,-0.286,-0.139,0.139
BB6000,I,uvis2,f814w,-0.004,-0.044,-0.004
BB6000,V,uvis2,f606w,0.078,-0.078,0.157
BB6000,V,uvis2,f555w,-0.067,0.001,-0.098
BB6000,B,uvis2,f475w,0.212,0.021,0.223
BB6000,U,uvis2,f336w,-0.285,-0.138,0.139
BB8000,I,uvis1,f814w,-0.011,-0.053,-0.012
BB8000,V,uvis1,f606w,0.010,-0.146,0.088
BB8000,V,uvis1,f555w,-0.028,0.041,-0.059
BB8000,B,uvis1,f475w,0.094,-0.097,0.106
BB8000,U,uvis1,f336w,-0.156,-0.009,0.269
BB8000,I,uvis2,f814w,-0.011,-0.052,-0.012
BB8000,V,uvis2,f606w,0.010,-0.146,0.088
BB8000,V,uvis2,f555w,-0.028,0.041,-0.059
BB8000,B,uvis2,f475w,0.094,-0.096,0.106
BB8000,U,uvis2,f336w,-0.156,-0.009,0.269
BB10000,I,uvis1,f814w,-0.015,-0.057,-0.015
BB10000,V,uvis1,f606w,-0.025,-0.181,0.053
BB10000,V,uvis1,f555w,-0.003,0.066,-0.033
BB10000,B,uvis1,f475w,0.027,-0.164,0.039
BB10000,U,uvis1,f336w,-0.083,0.064,0.342
BB10000,I,uvis2,f814w,-0.014,-0.055,-0.015
BB10000,V,uvis2,f606w,-0.025,-0.181,0.053
BB10000,V,uvis2,f555w,-0.003,0.066,-0.033
BB10000,B,uvis2,f475w,0.027,-0.164,0.039
BB10000,U,uvis2,f336w,-0.083,0.064,0.342
